BFN,BUS_PROF_NAME,FULL_ADDRESS,LICENSES,LIC_STATUS,ISSUE_DATE,END_DATE,ADDRESS_ID,ADDRESS_LINE1,ADDRESS_LINE2,CITY,STATE,ZIP,COUNCIL_DIST,POLICE_DIST,CENSUS_TRACT,X_COORD,Y_COORD,GLOBALID
2006-BFN-1021708,SATELLITE BAR,308 E COLFAX AVE,LIQUOR - TAVERN,LICENSE ISSUED - ACTIVE,2016-02-17 15:57:40,2017-03-21 00:00:00,223954,308 E Colfax Ave,,Denver,CO,,10,6,2701,3145321,1694797,{00000000-0000-0000-0000-000000000000}
2011-BFN-1057567,HOWL AT THE MOON,1735 19TH STSUITE LL-1 ,LIQUOR - TAVERN AND CABARET,LICENSE ISSUED - ACTIVE,2016-04-20 10:57:48,2017-05-17 00:00:00,43532,1735 19th St,,Denver,CO,,9,6,1701,3141318,1700271,{00000000-0000-0000-0000-000000000000}
2002-BFN-15067,PICCOLO PEETZA,3563 S MONACO STREET PKWY,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2016-05-06 12:37:59,2017-06-10 00:00:00,260780,3563 S Monaco Street Pkwy,,Denver,CO,,4,3,6809,3165121,1662733,{00000000-0000-0000-0000-000000000000}
2001-BFN-62510,H & D LIQUORS,1929 W MISSISSIPPI AVE,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,2016-09-14 09:09:25,2017-10-16 00:00:00,187958,1929 W Mississippi Ave,,Denver,CO,,7,4,1302,3137364,1679292,{00000000-0000-0000-0000-000000000000}
2002-BFN-97491,NOODLES & COMPANY,1502 S COLORADO BLVD,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2016-02-02 13:03:23,2017-03-11 00:00:00,231383,1502 S Colorado Blvd,,Denver,CO,,6,3,5104,3157546,1676394,{00000000-0000-0000-0000-000000000000}
2001-BFN-24554,WEST THIRTY EIGHTH AVE LIQUORS,1347 W 38TH AVE,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,2016-08-05 11:06:43,2017-09-11 00:00:00,246516,1347 W 38th Ave,,Denver,CO,,1,1,1101,3139802,1705559,{00000000-0000-0000-0000-000000000000}
2012-BFN-1061329,SAIGON BOWL RESTAURANT,333 S FEDERAL BLVDUNIT 134 ,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2016-02-26 13:28:38,2017-04-01 00:00:00,361704,333 S Federal Blvd Unit 134,,Denver,CO,,3,4,4502,3133432.29,1683874.11,{00000000-0000-0000-0000-000000000000}
2009-BFN-1042394,SAMS CLUB LITTLETON DISCOUNT LIQUOR,4827 S WADSWORTH WAY,LIQUOR - RETAIL,LICENSE ISSUED - ACTIVE,2016-02-26 15:26:31,2017-04-04 00:00:00,156218,4827 S Wadsworth Way,,Denver,CO,,2,4,12014,3115995,1654447,{00000000-0000-0000-0000-000000000000}
2015-BFN-0004639,ACES HIGH SPIRITS,8763 E NORTHFIELD ,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,2016-09-07 14:19:32,2017-10-06 00:00:00,495140,8763 E Northfield Blvd,,Denver,CO,,8,5,4105,3172413,1711743,{00000000-0000-0000-0000-000000000000}
2016-BFN-0006433,PEARL WINE COMPANY,1886 S PEARL ST,LIQUOR - TASTINGS,LICENSE ISSUED - ACTIVE,2016-09-28 00:00:00,2017-09-28 00:00:00,186078,1886 S Pearl St,,Denver,CO,,7,3,3001,3146261,1673868,{00000000-0000-0000-0000-000000000000}
2007-BFN-1026159,NEW BELGIUM HUB,8400 PENA BLVD DIA SPACE BC-RJ2 ,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2016-05-05 16:22:15,2017-05-24 00:00:00,221153,8400 Pena Blvd,,Denver,CO,,11,7,8313,3231977,1735292,{00000000-0000-0000-0000-000000000000}
2010-BFN-1046671,BAR LOUIE DENVER,8332 E NORTHFIELD BLVD,LIQUOR - HOTEL AND RESTAURANT AND CABARET,LICENSE ISSUED - ACTIVE,2016-11-15 11:08:25,2017-09-27 00:00:00,251880,8332 E Northfield Blvd,,Denver,CO,,8,5,4105,3171000,1709780,{00000000-0000-0000-0000-000000000000}
2012-BFN-1063571,THE WAY BACK,4132 W 38TH ,LIQUOR - TAVERN,LICENSE ISSUED - ACTIVE,2015-01-26 09:43:40,2017-04-10 00:00:00,48285,4132 W 38th Ave,,Denver,CO,,1,1,302,3128942,1705387,{00000000-0000-0000-0000-000000000000}
2004-BFN-1011375,AB & P LIQUORS,1472 S BROADWAY ,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,2015-11-12 13:59:17,2016-12-14 00:00:00,261702,1472 S Broadway,,Denver,CO,,7,3,3001,3144280,1676551,{00000000-0000-0000-0000-000000000000}
2015-BFN-0006075,BOUT TIME PUB AND GRUB,3392 W 38TH AVE,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2016-05-13 16:02:00,2017-04-18 00:00:00,460000,3392 W 38th Ave,,Denver,CO,,1,1,303,3131543,1705439,{00000000-0000-0000-0000-000000000000}
2003-BFN-1006726,EL TEJADO RESTAURANT,2651 S BROADWAY ,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2016-07-14 14:36:08,2017-07-28 00:00:00,115634,2651 S Broadway,,Denver,CO,,7,3,1403,3144136,1668844,{00000000-0000-0000-0000-000000000000}
2009-BFN-1039868,THE DOGHOUSE TAVERN,3100 S SHERIDAN BLVD # O ,LIQUOR - TAVERN,LICENSE ISSUED - ACTIVE,2016-05-11 08:59:23,2017-06-17 00:00:00,177145,3100 S Sheridan Blvd Bldg 6 # O,,Denver,CO,,2,4,4801,3127427,1663744,{00000000-0000-0000-0000-000000000000}
2001-BFN-5054,POPPIES RESTAURANT INC,2334 S COLORADO BLVD,LIQUOR - HOTEL AND RESTAURANT AND CABARET,LICENSE ISSUED - ACTIVE,2016-01-04 15:34:15,2016-12-20 00:00:00,246417,2334 S Colorado Blvd,,Denver,CO,,4,3,5300,3157582,1670939,{00000000-0000-0000-0000-000000000000}
2012-BFN-1063196,RENAISSANCE DENVER HOTEL,3801 N QUEBEC ST,LIQUOR - HOTEL AND RESTAURANT AND CABARET,LICENSE ISSUED - ACTIVE,2015-04-29 10:24:01,2017-03-02 00:00:00,11264,3801 N Quebec St,,Denver,CO,,8,2,4102,3167537,1705971,{00000000-0000-0000-0000-000000000000}
2011-BFN-1053681,ALL-V LIQUORS,1840 S SHERIDAN BLVD,LIQUOR - RETAIL,LICENSE ISSUED - ACTIVE,2016-06-13 10:16:26,2017-07-12 00:00:00,250458,1840 S Sheridan Blvd,,Denver,CO,,2,4,4601,3125928,1673819,{00000000-0000-0000-0000-000000000000}
2002-BFN-93628,DEVON'S PUB,4992 E HAMPDEN AVE,LIQUOR - TAVERN,LICENSE ISSUED - ACTIVE,2016-01-20 13:34:33,2017-02-26 00:00:00,151418,4992 E Hampden Ave,,Denver,CO,,4,3,4004,3160725,1662972,{00000000-0000-0000-0000-000000000000}
2013-BFN-1064074,COSTCO WHOLESALE #443,7900 W QUINCY AVE,LIQUOR - DRUG STORE,LICENSE ISSUED - ACTIVE,2016-02-26 14:11:45,2017-03-27 00:00:00,156196,7900 W Quincy Ave,,Denver,CO,,2,4,12014,3116548,1657295,{00000000-0000-0000-0000-000000000000}
2013-BFN-1066729,UNO MAS,1585 S PEARL ST,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2016-11-30 14:43:47,2017-12-03 00:00:00,235325,1585 S Pearl St,,Denver,CO,,7,3,3001,3146090,1675860,{00000000-0000-0000-0000-000000000000}
2010-BFN-1045377,EAST EVANS LIQUOR,4970 E EVANS AVE,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,2016-09-07 11:57:06,2017-10-04 00:00:00,226166,4970 E Evans Ave,,Denver,CO,,4,3,6901,3160368,1672448,{00000000-0000-0000-0000-000000000000}
2016-BFN-0005575,CASH AND CRAFT,3744 N TEJON ST,LIQUOR - TASTINGS,LICENSE ISSUED - ACTIVE,2016-08-30 00:00:00,2017-08-30 00:00:00,354095,3744 N Tejon St,,Denver,CO,,1,1,1102,3137441,1705297,{00000000-0000-0000-0000-000000000000}
2015-BFN-0007471,"SOUTH SHERIDAN ENTERPIRSES, INC.",1945 S SHERIDAN BLVDSUITE 101 ,LIQUOR - TASTINGS,LICENSE ISSUED - ACTIVE,2015-11-05 00:00:00,2016-11-05 00:00:00,360451,1945 S Sheridan Blvd Unit 101,,Denver,CO,,2,4,4700,3125284,1673539,{00000000-0000-0000-0000-000000000000}
2002-BFN-74227,KEG LIQUORS,2870 S COLORADO BLVD,LIQUOR - DRUG STORE,LICENSE ISSUED - ACTIVE,2016-06-30 15:57:18,2017-06-30 00:00:00,181316,2870 S Colorado Blvd,,Denver,CO,,4,3,4003,3157646,1667382,{00000000-0000-0000-0000-000000000000}
2005-BFN-1014718,LAS TORTAS,5307 LEETSDALE DR,LIQUOR - TAVERN,LICENSE ISSUED - ACTIVE,2016-11-29 12:14:21,2017-11-22 00:00:00,186389,5307 Leetsdale Dr,,Denver,CO,,5,3,4900,3161645,1683315,{00000000-0000-0000-0000-000000000000}
2016-BFN-0001406,BRIGHTON BLVD THEATRE,4120 N BRIGHTON ,LIQUOR - ARTS,LICENSE ISSUED - ACTIVE,2016-05-16 13:55:52,2017-05-15 00:00:00,35326,4120 N Brighton Blvd,,Denver,CO,,9,2,3500,3148746,1708036,{00000000-0000-0000-0000-000000000000}
2006-BFN-1024019,OSAKA,3940 E EXPOSITION AVE,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2016-02-02 11:55:53,2017-03-01 00:00:00,174263,3940 E Exposition Ave,,Denver,CO,,6,3,3901,3157162,1681320,{00000000-0000-0000-0000-000000000000}
2002-BFN-83888,NATIONAL RESTAURANT,909 S ONEIDA ST B1-3 ,LIQUOR - HOTEL AND RESTAURANT AND CABARET,LICENSE ISSUED - ACTIVE,2016-07-11 13:00:18,2017-08-12 00:00:00,270147,909 S Oneida St Unit 2B,,Denver,CO,,5,3,5002,3166291,1680239,{00000000-0000-0000-0000-000000000000}
2014-BFN-0005155,HOMEGROWN TAP & DOUGH,1001 S GAYLORD ST,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2016-01-25 11:54:52,2017-02-10 00:00:00,89537,1001 S Gaylord St,,Denver,CO,,6,3,3402,3151376,1679669,{00000000-0000-0000-0000-000000000000}
2014-BFN-1072563,EL RIO GRANDE RESTAURANT & CANTINA,1050 W EVANS AVE,LIQUOR - TAVERN,LICENSE ISSUED - ACTIVE,2014-12-08 00:00:00,2016-12-14 00:00:00,115991,1050 W Evans Ave,,Denver,CO,,7,4,5400,3140653,1672333,{00000000-0000-0000-0000-000000000000}
2006-BFN-1019397,7-ELEVEN STORE 25907B,3200 E 45TH AVE,LIQUOR - 3.2% BEER,LICENSE ISSUED - ACTIVE,2016-05-04 10:33:49,2017-06-08 00:00:00,,,,,,,9,2,3500,3154768,1709017,{00000000-0000-0000-0000-000000000000}
2014-BFN-0005397,UNWINED,8101 E BELLEVIEW AVEUNIT A80 ,LIQUOR - BEER & WINE,LICENSE ISSUED - ACTIVE,2016-01-13 08:05:44,2017-02-19 00:00:00,223552,8101 E Belleview Ave,,Denver,CO,,4,3,6804,3170876,1653220,{00000000-0000-0000-0000-000000000000}
